"","year","period","periodName","value","seriesID"
"1","2025","M08","August","4.3","JTS000000000000000JOR"
"2","2025","M07","July","4.3","JTS000000000000000JOR"
"3","2025","M06","June","4.4","JTS000000000000000JOR"
"4","2025","M05","May","4.6","JTS000000000000000JOR"
"5","2025","M04","April","4.4","JTS000000000000000JOR"
"6","2025","M03","March","4.3","JTS000000000000000JOR"
"7","2025","M02","February","4.5","JTS000000000000000JOR"
"8","2025","M01","January","4.7","JTS000000000000000JOR"
"9","2024","M12","December","4.5","JTS000000000000000JOR"
"10","2024","M11","November","4.8","JTS000000000000000JOR"
"11","2024","M10","October","4.6","JTS000000000000000JOR"
"12","2024","M09","September","4.3","JTS000000000000000JOR"
"13","2024","M08","August","4.6","JTS000000000000000JOR"
"14","2024","M07","July","4.5","JTS000000000000000JOR"
"15","2024","M06","June","4.5","JTS000000000000000JOR"
"16","2024","M05","May","4.8","JTS000000000000000JOR"
"17","2024","M04","April","4.6","JTS000000000000000JOR"
"18","2024","M03","March","4.9","JTS000000000000000JOR"
"19","2024","M02","February","5.1","JTS000000000000000JOR"
"20","2024","M01","January","5.1","JTS000000000000000JOR"
"21","2023","M12","December","5.2","JTS000000000000000JOR"
"22","2023","M11","November","5.2","JTS000000000000000JOR"
"23","2023","M10","October","5.2","JTS000000000000000JOR"
"24","2023","M09","September","5.6","JTS000000000000000JOR"
"25","2023","M08","August","5.6","JTS000000000000000JOR"
"26","2023","M07","July","5.2","JTS000000000000000JOR"
"27","2023","M06","June","5.6","JTS000000000000000JOR"
"28","2023","M05","May","5.6","JTS000000000000000JOR"
"29","2023","M04","April","6.0","JTS000000000000000JOR"
"30","2023","M03","March","5.8","JTS000000000000000JOR"
"31","2023","M02","February","6.0","JTS000000000000000JOR"
"32","2023","M01","January","6.3","JTS000000000000000JOR"
"33","2022","M12","December","6.6","JTS000000000000000JOR"
"34","2022","M11","November","6.4","JTS000000000000000JOR"
"35","2022","M10","October","6.4","JTS000000000000000JOR"
"36","2022","M09","September","6.6","JTS000000000000000JOR"
"37","2022","M08","August","6.2","JTS000000000000000JOR"
"38","2022","M07","July","7.1","JTS000000000000000JOR"
"39","2022","M06","June","6.9","JTS000000000000000JOR"
"40","2022","M05","May","7.0","JTS000000000000000JOR"
"41","2022","M04","April","7.3","JTS000000000000000JOR"
"42","2022","M03","March","7.4","JTS000000000000000JOR"
