"","year","period","periodName","value","seriesID"
"1","2025","M08","August","1385.8","SMS05000000000000001"
"2","2025","M07","July","1383.3","SMS05000000000000001"
"3","2025","M06","June","1379.2","SMS05000000000000001"
"4","2025","M05","May","1379.8","SMS05000000000000001"
"5","2025","M04","April","1379.0","SMS05000000000000001"
"6","2025","M03","March","1381.8","SMS05000000000000001"
"7","2025","M02","February","1381.7","SMS05000000000000001"
"8","2025","M01","January","1379.2","SMS05000000000000001"
"9","2024","M12","December","1377.2","SMS05000000000000001"
"10","2024","M11","November","1375.1","SMS05000000000000001"
"11","2024","M10","October","1371.2","SMS05000000000000001"
"12","2024","M09","September","1367.7","SMS05000000000000001"
"13","2024","M08","August","1367.5","SMS05000000000000001"
"14","2024","M07","July","1365.8","SMS05000000000000001"
"15","2024","M06","June","1363.4","SMS05000000000000001"
"16","2024","M05","May","1362.3","SMS05000000000000001"
"17","2024","M04","April","1362.8","SMS05000000000000001"
"18","2024","M03","March","1364.5","SMS05000000000000001"
"19","2024","M02","February","1360.8","SMS05000000000000001"
"20","2024","M01","January","1356.2","SMS05000000000000001"
"21","2023","M12","December","1358.2","SMS05000000000000001"
"22","2023","M11","November","1354.7","SMS05000000000000001"
"23","2023","M10","October","1354.9","SMS05000000000000001"
"24","2023","M09","September","1355.6","SMS05000000000000001"
"25","2023","M08","August","1352.1","SMS05000000000000001"
"26","2023","M07","July","1349.6","SMS05000000000000001"
"27","2023","M06","June","1353.4","SMS05000000000000001"
"28","2023","M05","May","1349.4","SMS05000000000000001"
"29","2023","M04","April","1348.1","SMS05000000000000001"
"30","2023","M03","March","1348.2","SMS05000000000000001"
"31","2023","M02","February","1346.5","SMS05000000000000001"
"32","2023","M01","January","1346.2","SMS05000000000000001"
"33","2025","M08","August","1452.4","SMS20000000000000001"
"34","2025","M07","July","1457.1","SMS20000000000000001"
"35","2025","M06","June","1463.5","SMS20000000000000001"
"36","2025","M05","May","1463.4","SMS20000000000000001"
"37","2025","M04","April","1461.6","SMS20000000000000001"
"38","2025","M03","March","1458.3","SMS20000000000000001"
"39","2025","M02","February","1457.6","SMS20000000000000001"
"40","2025","M01","January","1456.3","SMS20000000000000001"
"41","2024","M12","December","1458.9","SMS20000000000000001"
"42","2024","M11","November","1459.2","SMS20000000000000001"
"43","2024","M10","October","1452.4","SMS20000000000000001"
"44","2024","M09","September","1460.1","SMS20000000000000001"
"45","2024","M08","August","1462.4","SMS20000000000000001"
"46","2024","M07","July","1455.9","SMS20000000000000001"
"47","2024","M06","June","1456.9","SMS20000000000000001"
"48","2024","M05","May","1450.9","SMS20000000000000001"
"49","2024","M04","April","1456.9","SMS20000000000000001"
"50","2024","M03","March","1455.8","SMS20000000000000001"
"51","2024","M02","February","1453.6","SMS20000000000000001"
"52","2024","M01","January","1447.5","SMS20000000000000001"
"53","2023","M12","December","1449.4","SMS20000000000000001"
"54","2023","M11","November","1447.8","SMS20000000000000001"
"55","2023","M10","October","1446.1","SMS20000000000000001"
"56","2023","M09","September","1447.1","SMS20000000000000001"
"57","2023","M08","August","1443.0","SMS20000000000000001"
"58","2023","M07","July","1441.0","SMS20000000000000001"
"59","2023","M06","June","1447.2","SMS20000000000000001"
"60","2023","M05","May","1439.9","SMS20000000000000001"
"61","2023","M04","April","1439.8","SMS20000000000000001"
"62","2023","M03","March","1439.3","SMS20000000000000001"
