"GEOID","NAME","variable","estimate","moe"
"01","Alabama","B19013_001",62212,711
"02","Alaska","B19013_001",86631,2575
"04","Arizona","B19013_001",77315,931
"05","Arkansas","B19013_001",58700,1155
"06","California","B19013_001",95521,611
"08","Colorado","B19013_001",92911,1057
"09","Connecticut","B19013_001",91665,1473
"10","Delaware","B19013_001",81361,1668
"11","District of Columbia","B19013_001",108210,6847
"12","Florida","B19013_001",73311,577
"13","Georgia","B19013_001",74632,833
"15","Hawaii","B19013_001",95322,2478
"16","Idaho","B19013_001",74942,1126
"17","Illinois","B19013_001",80306,635
"18","Indiana","B19013_001",69477,808
"19","Iowa","B19013_001",71433,1135
"20","Kansas","B19013_001",70333,1182
"21","Kentucky","B19013_001",61118,653
"22","Louisiana","B19013_001",58229,1143
"23","Maine","B19013_001",73733,1699
"24","Maryland","B19013_001",98678,1292
"25","Massachusetts","B19013_001",99858,1355
"26","Michigan","B19013_001",69183,694
"27","Minnesota","B19013_001",85086,768
"28","Mississippi","B19013_001",54203,1260
"29","Missouri","B19013_001",68545,900
"30","Montana","B19013_001",70804,1475
"31","Nebraska","B19013_001",74590,1340
"32","Nevada","B19013_001",76364,1451
"33","New Hampshire","B19013_001",96838,2243
"34","New Jersey","B19013_001",99781,1061
"35","New Mexico","B19013_001",62268,1281
"36","New York","B19013_001",82095,500
"37","North Carolina","B19013_001",70804,547
"38","North Dakota","B19013_001",76525,1844
"39","Ohio","B19013_001",67769,731
"40","Oklahoma","B19013_001",62138,480
"41","Oregon","B19013_001",80160,1045
"42","Pennsylvania","B19013_001",73824,511
"44","Rhode Island","B19013_001",84972,2566
"45","South Carolina","B19013_001",67804,1049
"46","South Dakota","B19013_001",71810,2132
"47","Tennessee","B19013_001",67631,865
"48","Texas","B19013_001",75780,472
"49","Utah","B19013_001",93421,1383
"50","Vermont","B19013_001",81211,2608
"51","Virginia","B19013_001",89931,970
"53","Washington","B19013_001",94605,1221
"54","West Virginia","B19013_001",55948,1052
"55","Wisconsin","B19013_001",74631,774
"56","Wyoming","B19013_001",72415,2357
"72","Puerto Rico","B19013_001",25621,602
