"GEOID","NAME","variable","estimate","moe"
"34021000100","Census Tract 1; Mercer County; New Jersey","B19013_001",37969,17136
"34021000200","Census Tract 2; Mercer County; New Jersey","B19013_001",78750,30954
"34021000300","Census Tract 3; Mercer County; New Jersey","B19013_001",70385,38599
"34021000400","Census Tract 4; Mercer County; New Jersey","B19013_001",39675,9280
"34021000500","Census Tract 5; Mercer County; New Jersey","B19013_001",58729,18073
"34021000600","Census Tract 6; Mercer County; New Jersey","B19013_001",81708,28685
"34021000700","Census Tract 7; Mercer County; New Jersey","B19013_001",51286,15989
"34021000800","Census Tract 8; Mercer County; New Jersey","B19013_001",75596,4468
"34021000900","Census Tract 9; Mercer County; New Jersey","B19013_001",58895,19173
"34021001000","Census Tract 10; Mercer County; New Jersey","B19013_001",29167,16579
"34021001101","Census Tract 11.01; Mercer County; New Jersey","B19013_001",30644,13285
"34021001102","Census Tract 11.02; Mercer County; New Jersey","B19013_001",35519,3013
"34021001200","Census Tract 12; Mercer County; New Jersey","B19013_001",50625,34557
"34021001300","Census Tract 13; Mercer County; New Jersey","B19013_001",74597,20433
"34021001401","Census Tract 14.01; Mercer County; New Jersey","B19013_001",22112,13561
"34021001402","Census Tract 14.02; Mercer County; New Jersey","B19013_001",53553,24072
"34021001500","Census Tract 15; Mercer County; New Jersey","B19013_001",58090,12802
"34021001600","Census Tract 16; Mercer County; New Jersey","B19013_001",44750,24480
"34021001700","Census Tract 17; Mercer County; New Jersey","B19013_001",32875,28545
"34021001800","Census Tract 18; Mercer County; New Jersey","B19013_001",61250,14532
"34021001900","Census Tract 19; Mercer County; New Jersey","B19013_001",NA,NA
"34021002000","Census Tract 20; Mercer County; New Jersey","B19013_001",38158,3598
"34021002100","Census Tract 21; Mercer County; New Jersey","B19013_001",28261,7798
"34021002200","Census Tract 22; Mercer County; New Jersey","B19013_001",81773,12314
"34021002500","Census Tract 25; Mercer County; New Jersey","B19013_001",95756,13446
"34021002601","Census Tract 26.01; Mercer County; New Jersey","B19013_001",94217,9514
"34021002602","Census Tract 26.02; Mercer County; New Jersey","B19013_001",90850,2802
"34021002701","Census Tract 27.01; Mercer County; New Jersey","B19013_001",77114,18221
"34021002702","Census Tract 27.02; Mercer County; New Jersey","B19013_001",75326,10404
"34021002800","Census Tract 28; Mercer County; New Jersey","B19013_001",77500,16861
"34021002902","Census Tract 29.02; Mercer County; New Jersey","B19013_001",88306,23321
"34021002903","Census Tract 29.03; Mercer County; New Jersey","B19013_001",141502,9474
"34021002904","Census Tract 29.04; Mercer County; New Jersey","B19013_001",143361,11201
"34021003001","Census Tract 30.01; Mercer County; New Jersey","B19013_001",126500,31834
"34021003002","Census Tract 30.02; Mercer County; New Jersey","B19013_001",128949,11559
"34021003003","Census Tract 30.03; Mercer County; New Jersey","B19013_001",84173,12229
"34021003004","Census Tract 30.04; Mercer County; New Jersey","B19013_001",100288,19227
"34021003006","Census Tract 30.06; Mercer County; New Jersey","B19013_001",135154,16274
"34021003007","Census Tract 30.07; Mercer County; New Jersey","B19013_001",138720,6244
"34021003008","Census Tract 30.08; Mercer County; New Jersey","B19013_001",126411,8648
"34021003009","Census Tract 30.09; Mercer County; New Jersey","B19013_001",63603,13576
"34021003100","Census Tract 31; Mercer County; New Jersey","B19013_001",78068,15649
"34021003201","Census Tract 32.01; Mercer County; New Jersey","B19013_001",128081,36427
"34021003202","Census Tract 32.02; Mercer County; New Jersey","B19013_001",123358,22276
"34021003301","Census Tract 33.01; Mercer County; New Jersey","B19013_001",151342,23236
"34021003303","Census Tract 33.03; Mercer County; New Jersey","B19013_001",129476,34232
"34021003304","Census Tract 33.04; Mercer County; New Jersey","B19013_001",235938,96210
"34021003400","Census Tract 34; Mercer County; New Jersey","B19013_001",82179,17008
"34021003500","Census Tract 35; Mercer County; New Jersey","B19013_001",67464,14779
"34021003601","Census Tract 36.01; Mercer County; New Jersey","B19013_001",74025,19230
"34021003602","Census Tract 36.02; Mercer County; New Jersey","B19013_001",71250,27701
"34021003703","Census Tract 37.03; Mercer County; New Jersey","B19013_001",92481,14241
"34021003704","Census Tract 37.04; Mercer County; New Jersey","B19013_001",137865,14295
"34021003706","Census Tract 37.06; Mercer County; New Jersey","B19013_001",101413,26937
"34021003707","Census Tract 37.07; Mercer County; New Jersey","B19013_001",62078,25732
"34021003708","Census Tract 37.08; Mercer County; New Jersey","B19013_001",92817,16465
"34021003800","Census Tract 38; Mercer County; New Jersey","B19013_001",170871,26065
"34021003902","Census Tract 39.02; Mercer County; New Jersey","B19013_001",142396,21532
"34021003903","Census Tract 39.03; Mercer County; New Jersey","B19013_001",171282,14396
"34021003904","Census Tract 39.04; Mercer County; New Jersey","B19013_001",166750,34238
"34021003905","Census Tract 39.05; Mercer County; New Jersey","B19013_001",210969,27106
"34021004000","Census Tract 40; Mercer County; New Jersey","B19013_001",105331,20809
"34021004203","Census Tract 42.03; Mercer County; New Jersey","B19013_001",244583,47610
"34021004204","Census Tract 42.04; Mercer County; New Jersey","B19013_001",184288,33476
"34021004205","Census Tract 42.05; Mercer County; New Jersey","B19013_001",249506,27426
"34021004206","Census Tract 42.06; Mercer County; New Jersey","B19013_001",170250,75774
"34021004306","Census Tract 43.06; Mercer County; New Jersey","B19013_001",245417,34355
