"GEOID","NAME","variable","estimate","moe"
"34001","Atlantic County, New Jersey","B19013_001",76819,2168
"34003","Bergen County, New Jersey","B19013_001",123715,2159
"34005","Burlington County, New Jersey","B19013_001",105271,1532
"34007","Camden County, New Jersey","B19013_001",86384,1914
"34009","Cape May County, New Jersey","B19013_001",88046,3719
"34011","Cumberland County, New Jersey","B19013_001",64499,1963
"34013","Essex County, New Jersey","B19013_001",76712,1583
"34015","Gloucester County, New Jersey","B19013_001",102807,2467
"34017","Hudson County, New Jersey","B19013_001",90032,1688
"34019","Hunterdon County, New Jersey","B19013_001",139453,3573
"34021","Mercer County, New Jersey","B19013_001",96333,2433
"34023","Middlesex County, New Jersey","B19013_001",109028,1808
"34025","Monmouth County, New Jersey","B19013_001",122727,2148
"34027","Morris County, New Jersey","B19013_001",134929,2240
"34029","Ocean County, New Jersey","B19013_001",86411,1630
"34031","Passaic County, New Jersey","B19013_001",87137,1969
"34033","Salem County, New Jersey","B19013_001",78412,3254
"34035","Somerset County, New Jersey","B19013_001",135960,2875
"34037","Sussex County, New Jersey","B19013_001",114316,2893
"34039","Union County, New Jersey","B19013_001",100117,2051
"34041","Warren County, New Jersey","B19013_001",99596,2673
