"GEOID","NAME","variable","value"
"34041","Warren County, New Jersey","P001001",108692
"34033","Salem County, New Jersey","P001001",66083
"34035","Somerset County, New Jersey","P001001",323444
"34037","Sussex County, New Jersey","P001001",149265
"34039","Union County, New Jersey","P001001",536499
"34021","Mercer County, New Jersey","P001001",366513
"34023","Middlesex County, New Jersey","P001001",809858
"34025","Monmouth County, New Jersey","P001001",630380
"34027","Morris County, New Jersey","P001001",492276
"34029","Ocean County, New Jersey","P001001",576567
"34007","Camden County, New Jersey","P001001",513657
"34001","Atlantic County, New Jersey","P001001",274549
"34003","Bergen County, New Jersey","P001001",905116
"34005","Burlington County, New Jersey","P001001",448734
"34019","Hunterdon County, New Jersey","P001001",128349
"34009","Cape May County, New Jersey","P001001",97265
"34011","Cumberland County, New Jersey","P001001",156898
"34013","Essex County, New Jersey","P001001",783969
"34015","Gloucester County, New Jersey","P001001",288288
"34017","Hudson County, New Jersey","P001001",634266
"34031","Passaic County, New Jersey","P001001",501226
