"GEOID","NAME","variable","value"
"34023000100","Census Tract 1, Middlesex County, New Jersey","P002002",7225
"34023000200","Census Tract 2, Middlesex County, New Jersey","P002002",6410
"34023000300","Census Tract 3, Middlesex County, New Jersey","P002002",7227
"34023000401","Census Tract 4.01, Middlesex County, New Jersey","P002002",3767
"34023000403","Census Tract 4.03, Middlesex County, New Jersey","P002002",5493
"34023000404","Census Tract 4.04, Middlesex County, New Jersey","P002002",5241
"34023000501","Census Tract 5.01, Middlesex County, New Jersey","P002002",4815
"34023000502","Census Tract 5.02, Middlesex County, New Jersey","P002002",7326
"34023000603","Census Tract 6.03, Middlesex County, New Jersey","P002002",2254
"34023000606","Census Tract 6.06, Middlesex County, New Jersey","P002002",7631
"34023000608","Census Tract 6.08, Middlesex County, New Jersey","P002002",1629
"34023000701","Census Tract 7.01, Middlesex County, New Jersey","P002002",3462
"34023000702","Census Tract 7.02, Middlesex County, New Jersey","P002002",5692
"34023000801","Census Tract 8.01, Middlesex County, New Jersey","P002002",3719
"34023000802","Census Tract 8.02, Middlesex County, New Jersey","P002002",2767
"34023000901","Census Tract 9.01, Middlesex County, New Jersey","P002002",2262
"34023000902","Census Tract 9.02, Middlesex County, New Jersey","P002002",4618
"34023001001","Census Tract 10.01, Middlesex County, New Jersey","P002002",2529
"34023001002","Census Tract 10.02, Middlesex County, New Jersey","P002002",7490
"34023001100","Census Tract 11, Middlesex County, New Jersey","P002002",4513
"34023001200","Census Tract 12, Middlesex County, New Jersey","P002002",5381
"34023001300","Census Tract 13, Middlesex County, New Jersey","P002002",4088
"34023001409","Census Tract 14.09, Middlesex County, New Jersey","P002002",3507
"34023001410","Census Tract 14.10, Middlesex County, New Jersey","P002002",4513
"34023001411","Census Tract 14.11, Middlesex County, New Jersey","P002002",3631
"34023001412","Census Tract 14.12, Middlesex County, New Jersey","P002002",3284
"34023001413","Census Tract 14.13, Middlesex County, New Jersey","P002002",5373
"34023001414","Census Tract 14.14, Middlesex County, New Jersey","P002002",5490
"34023001415","Census Tract 14.15, Middlesex County, New Jersey","P002002",5420
"34023001416","Census Tract 14.16, Middlesex County, New Jersey","P002002",8140
"34023001417","Census Tract 14.17, Middlesex County, New Jersey","P002002",2122
"34023001502","Census Tract 15.02, Middlesex County, New Jersey","P002002",5644
"34023001504","Census Tract 15.04, Middlesex County, New Jersey","P002002",5620
"34023001505","Census Tract 15.05, Middlesex County, New Jersey","P002002",2223
"34023001506","Census Tract 15.06, Middlesex County, New Jersey","P002002",6085
"34023001600","Census Tract 16, Middlesex County, New Jersey","P002002",4859
"34023001701","Census Tract 17.01, Middlesex County, New Jersey","P002002",5379
"34023001702","Census Tract 17.02, Middlesex County, New Jersey","P002002",3417
"34023001803","Census Tract 18.03, Middlesex County, New Jersey","P002002",3255
"34023001804","Census Tract 18.04, Middlesex County, New Jersey","P002002",4076
"34023001805","Census Tract 18.05, Middlesex County, New Jersey","P002002",4986
"34023001901","Census Tract 19.01, Middlesex County, New Jersey","P002002",4982
"34023001902","Census Tract 19.02, Middlesex County, New Jersey","P002002",2131
"34023001903","Census Tract 19.03, Middlesex County, New Jersey","P002002",3131
"34023002000","Census Tract 20, Middlesex County, New Jersey","P002002",3939
"34023002101","Census Tract 21.01, Middlesex County, New Jersey","P002002",2290
"34023002102","Census Tract 21.02, Middlesex County, New Jersey","P002002",3766
"34023002200","Census Tract 22, Middlesex County, New Jersey","P002002",3579
"34023002301","Census Tract 23.01, Middlesex County, New Jersey","P002002",4032
"34023002302","Census Tract 23.02, Middlesex County, New Jersey","P002002",3583
"34023002401","Census Tract 24.01, Middlesex County, New Jersey","P002002",5424
"34023002402","Census Tract 24.02, Middlesex County, New Jersey","P002002",1487
"34023002500","Census Tract 25, Middlesex County, New Jersey","P002002",6975
"34023002603","Census Tract 26.03, Middlesex County, New Jersey","P002002",5101
"34023002604","Census Tract 26.04, Middlesex County, New Jersey","P002002",6579
"34023002605","Census Tract 26.05, Middlesex County, New Jersey","P002002",2819
"34023002701","Census Tract 27.01, Middlesex County, New Jersey","P002002",5357
"34023002703","Census Tract 27.03, Middlesex County, New Jersey","P002002",5778
"34023002805","Census Tract 28.05, Middlesex County, New Jersey","P002002",2692
"34023002901","Census Tract 29.01, Middlesex County, New Jersey","P002002",3262
"34023002902","Census Tract 29.02, Middlesex County, New Jersey","P002002",2763
"34023003001","Census Tract 30.01, Middlesex County, New Jersey","P002002",4292
"34023003002","Census Tract 30.02, Middlesex County, New Jersey","P002002",6403
"34023003101","Census Tract 31.01, Middlesex County, New Jersey","P002002",2984
"34023003102","Census Tract 31.02, Middlesex County, New Jersey","P002002",4915
"34023003201","Census Tract 32.01, Middlesex County, New Jersey","P002002",3174
"34023003203","Census Tract 32.03, Middlesex County, New Jersey","P002002",3352
"34023003300","Census Tract 33, Middlesex County, New Jersey","P002002",5318
"34023003401","Census Tract 34.01, Middlesex County, New Jersey","P002002",3840
"34023003500","Census Tract 35, Middlesex County, New Jersey","P002002",3495
"34023003600","Census Tract 36, Middlesex County, New Jersey","P002002",7127
"34023003700","Census Tract 37, Middlesex County, New Jersey","P002002",3715
"34023003800","Census Tract 38, Middlesex County, New Jersey","P002002",7450
"34023004000","Census Tract 40, Middlesex County, New Jersey","P002002",3972
"34023004100","Census Tract 41, Middlesex County, New Jersey","P002002",2543
"34023004200","Census Tract 42, Middlesex County, New Jersey","P002002",3356
"34023004300","Census Tract 43, Middlesex County, New Jersey","P002002",3732
"34023004400","Census Tract 44, Middlesex County, New Jersey","P002002",4414
"34023004500","Census Tract 45, Middlesex County, New Jersey","P002002",6951
"34023004600","Census Tract 46, Middlesex County, New Jersey","P002002",5948
"34023004700","Census Tract 47, Middlesex County, New Jersey","P002002",3482
"34023004800","Census Tract 48, Middlesex County, New Jersey","P002002",6028
"34023004900","Census Tract 49, Middlesex County, New Jersey","P002002",5109
"34023005000","Census Tract 50, Middlesex County, New Jersey","P002002",5279
"34023005100","Census Tract 51, Middlesex County, New Jersey","P002002",6922
"34023005200","Census Tract 52, Middlesex County, New Jersey","P002002",5812
"34023005300","Census Tract 53, Middlesex County, New Jersey","P002002",3910
"34023005500","Census Tract 55, Middlesex County, New Jersey","P002002",3551
"34023005601","Census Tract 56.01, Middlesex County, New Jersey","P002002",2980
"34023005602","Census Tract 56.02, Middlesex County, New Jersey","P002002",7686
"34023005700","Census Tract 57, Middlesex County, New Jersey","P002002",5072
"34023005800","Census Tract 58, Middlesex County, New Jersey","P002002",6062
"34023006001","Census Tract 60.01, Middlesex County, New Jersey","P002002",2138
"34023006002","Census Tract 60.02, Middlesex County, New Jersey","P002002",5496
"34023006101","Census Tract 61.01, Middlesex County, New Jersey","P002002",4560
"34023006103","Census Tract 61.03, Middlesex County, New Jersey","P002002",5037
"34023006104","Census Tract 61.04, Middlesex County, New Jersey","P002002",4283
"34023006203","Census Tract 62.03, Middlesex County, New Jersey","P002002",10203
"34023006204","Census Tract 62.04, Middlesex County, New Jersey","P002002",1728
"34023006205","Census Tract 62.05, Middlesex County, New Jersey","P002002",6502
"34023006206","Census Tract 62.06, Middlesex County, New Jersey","P002002",1841
"34023006207","Census Tract 62.07, Middlesex County, New Jersey","P002002",6588
"34023006300","Census Tract 63, Middlesex County, New Jersey","P002002",6893
"34023006403","Census Tract 64.03, Middlesex County, New Jersey","P002002",2554
"34023006500","Census Tract 65, Middlesex County, New Jersey","P002002",7043
"34023006601","Census Tract 66.01, Middlesex County, New Jersey","P002002",1890
