"TableName","SeriesCode","LineNumber","LineDescription","TimePeriod","METRIC_NAME","CL_UNIT","UNIT_MULT","DataValue","NoteRef"
"T10101","A191RL","1","Gross domestic product","2022Q1","Fisher Quantity Index","Percent change, annual rate","0",-1,"T10101"
"T10101","A191RL","1","Gross domestic product","2022Q2","Fisher Quantity Index","Percent change, annual rate","0",0.6,"T10101"
"T10101","A191RL","1","Gross domestic product","2022Q3","Fisher Quantity Index","Percent change, annual rate","0",2.9,"T10101"
"T10101","A191RL","1","Gross domestic product","2022Q4","Fisher Quantity Index","Percent change, annual rate","0",2.8,"T10101"
"T10101","A191RL","1","Gross domestic product","2023Q1","Fisher Quantity Index","Percent change, annual rate","0",2.9,"T10101"
"T10101","A191RL","1","Gross domestic product","2023Q2","Fisher Quantity Index","Percent change, annual rate","0",2.5,"T10101"
"T10101","A191RL","1","Gross domestic product","2023Q3","Fisher Quantity Index","Percent change, annual rate","0",4.7,"T10101"
"T10101","A191RL","1","Gross domestic product","2023Q4","Fisher Quantity Index","Percent change, annual rate","0",3.4,"T10101"
"T10101","A191RL","1","Gross domestic product","2024Q1","Fisher Quantity Index","Percent change, annual rate","0",0.8,"T10101"
"T10101","A191RL","1","Gross domestic product","2024Q2","Fisher Quantity Index","Percent change, annual rate","0",3.6,"T10101"
"T10101","A191RL","1","Gross domestic product","2024Q3","Fisher Quantity Index","Percent change, annual rate","0",3.3,"T10101"
"T10101","A191RL","1","Gross domestic product","2024Q4","Fisher Quantity Index","Percent change, annual rate","0",1.9,"T10101"
"T10101","A191RL","1","Gross domestic product","2025Q1","Fisher Quantity Index","Percent change, annual rate","0",-0.6,"T10101"
"T10101","A191RL","1","Gross domestic product","2025Q2","Fisher Quantity Index","Percent change, annual rate","0",3.8,"T10101"
"T10101","DPCERL","2","Personal consumption expenditures","2022Q1","Fisher Quantity Index","Percent change, annual rate","0",0.4,"T10101"
"T10101","DPCERL","2","Personal consumption expenditures","2022Q2","Fisher Quantity Index","Percent change, annual rate","0",3.3,"T10101"
"T10101","DPCERL","2","Personal consumption expenditures","2022Q3","Fisher Quantity Index","Percent change, annual rate","0",1.9,"T10101"
"T10101","DPCERL","2","Personal consumption expenditures","2022Q4","Fisher Quantity Index","Percent change, annual rate","0",0.8,"T10101"
"T10101","DPCERL","2","Personal consumption expenditures","2023Q1","Fisher Quantity Index","Percent change, annual rate","0",4.5,"T10101"
"T10101","DPCERL","2","Personal consumption expenditures","2023Q2","Fisher Quantity Index","Percent change, annual rate","0",1.5,"T10101"
"T10101","DPCERL","2","Personal consumption expenditures","2023Q3","Fisher Quantity Index","Percent change, annual rate","0",3.1,"T10101"
"T10101","DPCERL","2","Personal consumption expenditures","2023Q4","Fisher Quantity Index","Percent change, annual rate","0",3,"T10101"
"T10101","DPCERL","2","Personal consumption expenditures","2024Q1","Fisher Quantity Index","Percent change, annual rate","0",1.7,"T10101"
"T10101","DPCERL","2","Personal consumption expenditures","2024Q2","Fisher Quantity Index","Percent change, annual rate","0",3.9,"T10101"
"T10101","DPCERL","2","Personal consumption expenditures","2024Q3","Fisher Quantity Index","Percent change, annual rate","0",4,"T10101"
"T10101","DPCERL","2","Personal consumption expenditures","2024Q4","Fisher Quantity Index","Percent change, annual rate","0",3.9,"T10101"
"T10101","DPCERL","2","Personal consumption expenditures","2025Q1","Fisher Quantity Index","Percent change, annual rate","0",0.6,"T10101"
"T10101","DPCERL","2","Personal consumption expenditures","2025Q2","Fisher Quantity Index","Percent change, annual rate","0",2.5,"T10101"
"T10101","DGDSRL","3","Goods","2022Q1","Fisher Quantity Index","Percent change, annual rate","0",-2,"T10101"
"T10101","DGDSRL","3","Goods","2022Q2","Fisher Quantity Index","Percent change, annual rate","0",-0.4,"T10101"
"T10101","DGDSRL","3","Goods","2022Q3","Fisher Quantity Index","Percent change, annual rate","0",-2.5,"T10101"
"T10101","DGDSRL","3","Goods","2022Q4","Fisher Quantity Index","Percent change, annual rate","0",-2.3,"T10101"
"T10101","DGDSRL","3","Goods","2023Q1","Fisher Quantity Index","Percent change, annual rate","0",7.2,"T10101"
"T10101","DGDSRL","3","Goods","2023Q2","Fisher Quantity Index","Percent change, annual rate","0",0.4,"T10101"
"T10101","DGDSRL","3","Goods","2023Q3","Fisher Quantity Index","Percent change, annual rate","0",4.4,"T10101"
"T10101","DGDSRL","3","Goods","2023Q4","Fisher Quantity Index","Percent change, annual rate","0",2.2,"T10101"
"T10101","DGDSRL","3","Goods","2024Q1","Fisher Quantity Index","Percent change, annual rate","0",-1.3,"T10101"
"T10101","DGDSRL","3","Goods","2024Q2","Fisher Quantity Index","Percent change, annual rate","0",5.5,"T10101"
"T10101","DGDSRL","3","Goods","2024Q3","Fisher Quantity Index","Percent change, annual rate","0",6.1,"T10101"
"T10101","DGDSRL","3","Goods","2024Q4","Fisher Quantity Index","Percent change, annual rate","0",6.9,"T10101"
"T10101","DGDSRL","3","Goods","2025Q1","Fisher Quantity Index","Percent change, annual rate","0",0.2,"T10101"
"T10101","DGDSRL","3","Goods","2025Q2","Fisher Quantity Index","Percent change, annual rate","0",2.2,"T10101"
"T10101","DDURRL","4","Durable goods","2022Q1","Fisher Quantity Index","Percent change, annual rate","0",0,"T10101"
"T10101","DDURRL","4","Durable goods","2022Q2","Fisher Quantity Index","Percent change, annual rate","0",-1.3,"T10101"
"T10101","DDURRL","4","Durable goods","2022Q3","Fisher Quantity Index","Percent change, annual rate","0",-1.5,"T10101"
"T10101","DDURRL","4","Durable goods","2022Q4","Fisher Quantity Index","Percent change, annual rate","0",-4.8,"T10101"
