"year","period","periodName","value","seriesID"
"2025","M08","August","5.0","LASST340000000000003"
"2025","M07","July","4.9","LASST340000000000003"
"2025","M06","June","4.9","LASST340000000000003"
"2025","M05","May","4.8","LASST340000000000003"
"2025","M04","April","4.8","LASST340000000000003"
"2025","M03","March","4.7","LASST340000000000003"
"2025","M02","February","4.6","LASST340000000000003"
"2025","M01","January","4.6","LASST340000000000003"
"2024","M12","December","4.6","LASST340000000000003"
"2024","M11","November","4.6","LASST340000000000003"
"2024","M10","October","4.6","LASST340000000000003"
"2024","M09","September","4.6","LASST340000000000003"
"2024","M08","August","4.6","LASST340000000000003"
"2024","M07","July","4.6","LASST340000000000003"
"2024","M06","June","4.6","LASST340000000000003"
"2024","M05","May","4.5","LASST340000000000003"
"2024","M04","April","4.5","LASST340000000000003"
"2024","M03","March","4.4","LASST340000000000003"
"2024","M02","February","4.4","LASST340000000000003"
"2024","M01","January","4.4","LASST340000000000003"
"2023","M12","December","4.5","LASST340000000000003"
"2023","M11","November","4.5","LASST340000000000003"
"2023","M10","October","4.5","LASST340000000000003"
"2023","M09","September","4.5","LASST340000000000003"
"2023","M08","August","4.4","LASST340000000000003"
"2023","M07","July","4.4","LASST340000000000003"
"2023","M06","June","4.3","LASST340000000000003"
"2023","M05","May","4.2","LASST340000000000003"
"2023","M04","April","4.1","LASST340000000000003"
"2023","M03","March","4.0","LASST340000000000003"
"2023","M02","February","4.0","LASST340000000000003"
"2023","M01","January","3.9","LASST340000000000003"
"2022","M12","December","3.8","LASST340000000000003"
"2022","M11","November","3.6","LASST340000000000003"
"2022","M10","October","3.5","LASST340000000000003"
"2022","M09","September","3.3","LASST340000000000003"
"2022","M08","August","3.0","LASST340000000000003"
"2022","M07","July","3.3","LASST340000000000003"
"2022","M06","June","3.6","LASST340000000000003"
"2022","M05","May","3.8","LASST340000000000003"
"2022","M04","April","4.1","LASST340000000000003"
"2022","M03","March","4.3","LASST340000000000003"
"2022","M02","February","4.7","LASST340000000000003"
"2022","M01","January","5.2","LASST340000000000003"
"2021","M12","December","5.5","LASST340000000000003"
"2021","M11","November","5.6","LASST340000000000003"
"2021","M10","October","6.0","LASST340000000000003"
