"","year","period","periodName","value","seriesID"
"1","2025","M08","August","5.0","LASST340000000000003"
"2","2025","M07","July","4.9","LASST340000000000003"
"3","2025","M06","June","4.9","LASST340000000000003"
"4","2025","M05","May","4.8","LASST340000000000003"
"5","2025","M04","April","4.8","LASST340000000000003"
"6","2025","M03","March","4.7","LASST340000000000003"
"7","2025","M02","February","4.6","LASST340000000000003"
"8","2025","M01","January","4.6","LASST340000000000003"
"9","2024","M12","December","4.6","LASST340000000000003"
"10","2024","M11","November","4.6","LASST340000000000003"
"11","2024","M10","October","4.6","LASST340000000000003"
"12","2024","M09","September","4.6","LASST340000000000003"
"13","2024","M08","August","4.6","LASST340000000000003"
"14","2024","M07","July","4.6","LASST340000000000003"
"15","2024","M06","June","4.6","LASST340000000000003"
"16","2024","M05","May","4.5","LASST340000000000003"
"17","2024","M04","April","4.5","LASST340000000000003"
"18","2024","M03","March","4.4","LASST340000000000003"
"19","2024","M02","February","4.4","LASST340000000000003"
"20","2024","M01","January","4.4","LASST340000000000003"
"21","2025","M08","August","4.0","LASST360000000000003"
"22","2025","M07","July","4.0","LASST360000000000003"
"23","2025","M06","June","4.0","LASST360000000000003"
"24","2025","M05","May","4.0","LASST360000000000003"
"25","2025","M04","April","4.2","LASST360000000000003"
"26","2025","M03","March","4.2","LASST360000000000003"
"27","2025","M02","February","4.3","LASST360000000000003"
"28","2025","M01","January","4.4","LASST360000000000003"
"29","2024","M12","December","4.4","LASST360000000000003"
"30","2024","M11","November","4.4","LASST360000000000003"
"31","2024","M10","October","4.4","LASST360000000000003"
"32","2024","M09","September","4.4","LASST360000000000003"
"33","2024","M08","August","4.4","LASST360000000000003"
"34","2024","M07","July","4.4","LASST360000000000003"
"35","2024","M06","June","4.3","LASST360000000000003"
"36","2024","M05","May","4.3","LASST360000000000003"
"37","2024","M04","April","4.2","LASST360000000000003"
"38","2024","M03","March","4.2","LASST360000000000003"
"39","2024","M02","February","4.1","LASST360000000000003"
"40","2024","M01","January","4.2","LASST360000000000003"
"41","2025","M08","August","4.0","LASST420000000000003"
"42","2025","M07","July","4.0","LASST420000000000003"
"43","2025","M06","June","4.0","LASST420000000000003"
"44","2025","M05","May","3.9","LASST420000000000003"
"45","2025","M04","April","3.9","LASST420000000000003"
"46","2025","M03","March","3.8","LASST420000000000003"
"47","2025","M02","February","3.8","LASST420000000000003"
"48","2025","M01","January","3.8","LASST420000000000003"
"49","2024","M12","December","3.7","LASST420000000000003"
"50","2024","M11","November","3.7","LASST420000000000003"
"51","2024","M10","October","3.7","LASST420000000000003"
"52","2024","M09","September","3.7","LASST420000000000003"
"53","2024","M08","August","3.6","LASST420000000000003"
"54","2024","M07","July","3.6","LASST420000000000003"
"55","2024","M06","June","3.6","LASST420000000000003"
"56","2024","M05","May","3.6","LASST420000000000003"
"57","2024","M04","April","3.6","LASST420000000000003"
"58","2024","M03","March","3.6","LASST420000000000003"
"59","2024","M02","February","3.6","LASST420000000000003"
"60","2024","M01","January","3.7","LASST420000000000003"
